Producto,Categoria,Precio,Cantidad,Cliente,Ciudad,Pais,Fecha
Gula Malacca,Condiments,"19,45",21,Tortuga Restaurante,México D.F.,Mexico,24/7/2015
Chai,Beverages,18,10,Tortuga Restaurante,México D.F.,Mexico,24/7/2015
Rhönbräu Klosterbier,Beverages,"7,75",20,Trail's Head Gourmet Provisioners,Kirkland,USA,24/7/2015
Original Frankfurter grüne Soße,Condiments,13,18,Trail's Head Gourmet Provisioners,Kirkland,USA,24/7/2015
Chartreuse verte,Beverages,18,10,Trail's Head Gourmet Provisioners,Kirkland,USA,24/7/2015
Steeleye Stout,Beverages,18,20,B's Beverages,London,UK,25/7/2015
Ravioli Angelo,Grains/Cereals,"19,5",6,B's Beverages,London,UK,25/7/2015
Genen Shouyu,Condiments,"15,5",10,Let's Stop N Shop,San Francisco,USA,26/7/2015
Rhönbräu Klosterbier,Beverages,"7,75",21,Let's Stop N Shop,San Francisco,USA,26/7/2015
Tofu,Produce,"23,25",15,Ottilies Käseladen,Köln,Germany,27/7/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",30,Ottilies Käseladen,Köln,Germany,27/7/2015
Jack's New England Clam Chowder,Seafood,"9,65",9,Ottilies Käseladen,Köln,Germany,27/7/2015
Rhönbräu Klosterbier,Beverages,"7,75",50,Familia Arquibaldo,São Paulo,Brazil,27/7/2015
Ravioli Angelo,Grains/Cereals,"19,5",4,Blauer See Delikatessen,Mannheim,Germany,28/7/2015
Lakkalikööri,Beverages,18,14,Blauer See Delikatessen,Mannheim,Germany,28/7/2015
Gudbrandsdalsost,Dairy Products,36,10,Wartian Herkku,Oulu,Finland,31/7/2015
Thüringer Rostbratwurst,Meat/Poultry,"123,79",10,Wartian Herkku,Oulu,Finland,31/7/2015
Camembert Pierrot,Dairy Products,34,24,Wartian Herkku,Oulu,Finland,31/7/2015
Gorgonzola Telino,Dairy Products,"12,5",50,Blondel père et fils,Strasbourg,France,31/7/2015
Zaanse koeken,Confections,"9,5",15,Wellington Importadora,Resende,Brazil,1/8/2015
Filo Mix,Grains/Cereals,7,4,Reggiani Caseifici,Reggio Emilia,Italy,2/8/2015
Gumbär Gummibärchen,Confections,"31,23",6,Que Delícia,Rio de Janeiro,Brazil,2/8/2015
Steeleye Stout,Beverages,18,20,Que Delícia,Rio de Janeiro,Brazil,2/8/2015
Original Frankfurter grüne Soße,Condiments,13,20,Que Delícia,Rio de Janeiro,Brazil,2/8/2015
Carnarvon Tigers,Seafood,"62,5",40,QUICK-Stop,Cunewalde,Germany,3/8/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,100,QUICK-Stop,Cunewalde,Germany,3/8/2015
Steeleye Stout,Beverages,18,4,Great Lakes Food Market,Eugene,USA,4/8/2015
Original Frankfurter grüne Soße,Condiments,13,60,Mère Paillarde,Montréal,Canada,7/8/2015
Chai,Beverages,18,20,Mère Paillarde,Montréal,Canada,7/8/2015
Aniseed Syrup,Condiments,10,14,Vaffeljernet,Århus,Denmark,7/8/2015
Uncle Bob's Organic Dried Pears,Produce,30,10,Vaffeljernet,Århus,Denmark,7/8/2015
Tourtière,Meat/Poultry,"7,45",50,Vaffeljernet,Århus,Denmark,7/8/2015
Genen Shouyu,Condiments,"15,5",25,Lehmanns Marktstand,Frankfurt a.M. ,Germany,8/8/2015
Gumbär Gummibärchen,Confections,"31,23",5,Lehmanns Marktstand,Frankfurt a.M. ,Germany,8/8/2015
Sir Rodney's Marmalade,Confections,81,21,Lehmanns Marktstand,Frankfurt a.M. ,Germany,9/8/2015
Gudbrandsdalsost,Dairy Products,36,20,Lehmanns Marktstand,Frankfurt a.M. ,Germany,9/8/2015
Lakkalikööri,Beverages,18,4,Lehmanns Marktstand,Frankfurt a.M. ,Germany,9/8/2015
Filo Mix,Grains/Cereals,7,24,Old World Delicatessen,Anchorage,USA,9/8/2015
Escargots de Bourgogne,Seafood,"13,25",30,Old World Delicatessen,Anchorage,USA,9/8/2015
Steeleye Stout,Beverages,18,30,Ernst Handel,Graz,Austria,10/8/2015
Sirop d'érable,Condiments,"28,5",120,Ernst Handel,Graz,Austria,10/8/2015
Gudbrandsdalsost,Dairy Products,36,65,Ernst Handel,Graz,Austria,10/8/2015
Vegie-spread,Condiments,"43,9",24,White Clover Markets,Seattle,USA,11/8/2015
Rhönbräu Klosterbier,Beverages,"7,75",30,White Clover Markets,Seattle,USA,11/8/2015
Gnocchi di nonna Alice,Grains/Cereals,38,5,White Clover Markets,Seattle,USA,11/8/2015
Guaraná Fantástica,Beverages,"4,5",35,Piccolo und mehr,Salzburg,Austria,11/8/2015
Ravioli Angelo,Grains/Cereals,"19,5",20,Piccolo und mehr,Salzburg,Austria,11/8/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",12,Piccolo und mehr,Salzburg,Austria,11/8/2015
Schoggi Schokolade,Confections,"43,9",50,Rattlesnake Canyon Grocery,Albuquerque,USA,14/8/2015
Fløtemysost,Dairy Products,"21,5",9,Rattlesnake Canyon Grocery,Albuquerque,USA,14/8/2015
Tarte au sucre,Confections,"49,3",10,B's Beverages,London,UK,15/8/2015
Röd Kaviar,Seafood,15,30,Hungry Coyote Import Store,Elgin,USA,16/8/2015
Tourtière,Meat/Poultry,"7,45",4,Hungry Coyote Import Store,Elgin,USA,16/8/2015
Konbu,Seafood,6,60,HILARIÓN-Abastos,San Cristóbal,Venezuela,16/8/2015
Raclette Courdavault,Dairy Products,55,35,HILARIÓN-Abastos,San Cristóbal,Venezuela,16/8/2015
Original Frankfurter grüne Soße,Condiments,13,5,Vaffeljernet,Århus,Denmark,17/8/2015
Gustaf's Knäckebröd,Grains/Cereals,21,48,Save-a-lot Markets,Boise,USA,18/8/2015
Maxilaku,Confections,20,25,Save-a-lot Markets,Boise,USA,18/8/2015
Chocolade,Confections,"12,75",6,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,18/8/2015
Lakkalikööri,Beverages,18,10,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,18/8/2015
Raclette Courdavault,Dairy Products,55,20,Mère Paillarde,Montréal,Canada,21/8/2015
Camembert Pierrot,Dairy Products,34,70,Mère Paillarde,Montréal,Canada,21/8/2015
Fløtemysost,Dairy Products,"21,5",15,Mère Paillarde,Montréal,Canada,21/8/2015
Pavlova,Confections,"17,45",30,Mère Paillarde,Montréal,Canada,21/8/2015
Chef Anton's Cajun Seasoning,Condiments,22,20,Tradição Hipermercados,São Paulo,Brazil,22/8/2015
Pâté chinois,Meat/Poultry,24,20,Tradição Hipermercados,São Paulo,Brazil,22/8/2015
Tarte au sucre,Confections,"49,3",10,Tradição Hipermercados,São Paulo,Brazil,22/8/2015
Geitost,Dairy Products,"2,5",14,Save-a-lot Markets,Boise,USA,22/8/2015
Boston Crab Meat,Seafood,"18,4",42,Save-a-lot Markets,Boise,USA,22/8/2015
Alice Mutton,Meat/Poultry,39,100,Save-a-lot Markets,Boise,USA,22/8/2015
Uncle Bob's Organic Dried Pears,Produce,30,45,Save-a-lot Markets,Boise,USA,22/8/2015
Mozzarella di Giovanni,Dairy Products,"34,8",12,Save-a-lot Markets,Boise,USA,22/8/2015
Gnocchi di nonna Alice,Grains/Cereals,38,28,Toms Spezialitäten,Münster,Germany,23/8/2015
Chai,Beverages,18,3,Du monde entier,Nantes,France,24/8/2015
Ikura,Seafood,31,10,Du monde entier,Nantes,France,24/8/2015
Sir Rodney's Scones,Confections,10,6,Du monde entier,Nantes,France,24/8/2015
Inlagd Sill,Seafood,19,21,La maison d'Asie,Toulouse,France,25/8/2015
Chai,Beverages,18,6,Wolski  Zajazd,Warszawa,Poland,25/8/2015
Camembert Pierrot,Dairy Products,34,15,Wolski  Zajazd,Warszawa,Poland,25/8/2015
Chang,Beverages,19,10,Wolski  Zajazd,Warszawa,Poland,25/8/2015
Ikura,Seafood,31,70,Save-a-lot Markets,Boise,USA,28/8/2015
Inlagd Sill,Seafood,19,55,Save-a-lot Markets,Boise,USA,28/8/2015
Maxilaku,Confections,20,18,Save-a-lot Markets,Boise,USA,28/8/2015
Camembert Pierrot,Dairy Products,34,40,Save-a-lot Markets,Boise,USA,28/8/2015
Lakkalikööri,Beverages,18,80,Save-a-lot Markets,Boise,USA,28/8/2015
Konbu,Seafood,6,8,HILARIÓN-Abastos,San Cristóbal,Venezuela,29/8/2015
Rhönbräu Klosterbier,Beverages,"7,75",40,HILARIÓN-Abastos,San Cristóbal,Venezuela,29/8/2015
Sir Rodney's Scones,Confections,10,8,Blauer See Delikatessen,Mannheim,Germany,29/8/2015
Chartreuse verte,Beverages,18,5,Blauer See Delikatessen,Mannheim,Germany,29/8/2015
Queso Cabrales,Dairy Products,21,14,Blauer See Delikatessen,Mannheim,Germany,29/8/2015
Pâté chinois,Meat/Poultry,24,5,Wilman Kala,Helsinki,Finland,30/8/2015
Fløtemysost,Dairy Products,"21,5",15,Great Lakes Food Market,Eugene,USA,31/8/2015
Côte de Blaye,Beverages,"263,5",15,Great Lakes Food Market,Eugene,USA,31/8/2015
Gnocchi di nonna Alice,Grains/Cereals,38,14,Great Lakes Food Market,Eugene,USA,31/8/2015
Outback Lager,Beverages,15,15,Great Lakes Food Market,Eugene,USA,31/8/2015
Raclette Courdavault,Dairy Products,55,30,Great Lakes Food Market,Eugene,USA,31/8/2015
Grandma's Boysenberry Spread,Condiments,25,70,Mère Paillarde,Montréal,Canada,1/9/2015
Gnocchi di nonna Alice,Grains/Cereals,38,20,Mère Paillarde,Montréal,Canada,1/9/2015
Scottish Longbreads,Confections,"12,5",15,Mère Paillarde,Montréal,Canada,1/9/2015
Sir Rodney's Scones,Confections,10,42,Mère Paillarde,Montréal,Canada,4/9/2015
Gustaf's Knäckebröd,Grains/Cereals,21,40,Mère Paillarde,Montréal,Canada,4/9/2015
Filo Mix,Grains/Cereals,7,5,Laughing Bacchus Wine Cellars,Vancouver,Canada,5/9/2015
Guaraná Fantástica,Beverages,"4,5",5,Laughing Bacchus Wine Cellars,Vancouver,Canada,5/9/2015
Fløtemysost,Dairy Products,"21,5",15,Island Trading,Cowes,UK,5/9/2015
Outback Lager,Beverages,15,20,Island Trading,Cowes,UK,5/9/2015
Teatime Chocolate Biscuits,Confections,"9,2",5,Island Trading,Cowes,UK,5/9/2015
Tunnbröd,Grains/Cereals,9,10,Island Trading,Cowes,UK,5/9/2015
Chang,Beverages,19,20,Ricardo Adocicados,Rio de Janeiro,Brazil,6/9/2015
Scottish Longbreads,Confections,"12,5",18,Ricardo Adocicados,Rio de Janeiro,Brazil,6/9/2015
Sir Rodney's Scones,Confections,10,25,Frankenversand,München,Germany,7/9/2015
Guaraná Fantástica,Beverages,"4,5",3,Frankenversand,München,Germany,7/9/2015
Tofu,Produce,"23,25",21,Frankenversand,München,Germany,7/9/2015
Teatime Chocolate Biscuits,Confections,"9,2",15,Frankenversand,München,Germany,7/9/2015
Steeleye Stout,Beverages,18,30,Frankenversand,München,Germany,7/9/2015
Rössle Sauerkraut,Produce,"45,6",10,The Cracker Box,Butte,USA,7/9/2015
Thüringer Rostbratwurst,Meat/Poultry,"123,79",6,The Cracker Box,Butte,USA,7/9/2015
Gula Malacca,Condiments,"19,45",10,The Cracker Box,Butte,USA,7/9/2015
Camembert Pierrot,Dairy Products,34,10,Ana Trujillo Emparedados y helados,México D.F.,Mexico,8/9/2015
Tofu,Produce,"23,25",3,Ana Trujillo Emparedados y helados,México D.F.,Mexico,8/9/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,5,Ana Trujillo Emparedados y helados,México D.F.,Mexico,8/9/2015
Fløtemysost,Dairy Products,"21,5",20,Berglunds snabbköp,Luleå,Sweden,11/9/2015
Perth Pasties,Meat/Poultry,"32,8",12,Berglunds snabbköp,Luleå,Sweden,11/9/2015
Camembert Pierrot,Dairy Products,34,20,Berglunds snabbköp,Luleå,Sweden,11/9/2015
Tarte au sucre,Confections,"49,3",15,Save-a-lot Markets,Boise,USA,11/9/2015
Röd Kaviar,Seafood,15,35,Save-a-lot Markets,Boise,USA,11/9/2015
Chai,Beverages,18,25,Blondel père et fils,Strasbourg,France,12/9/2015
Thüringer Rostbratwurst,Meat/Poultry,"123,79",20,Godos Cocina Típica,Sevilla,Spain,12/9/2015
Wimmers gute Semmelknödel,Grains/Cereals,"33,25",9,Godos Cocina Típica,Sevilla,Spain,12/9/2015
Pâté chinois,Meat/Poultry,24,12,Königlich Essen,Brandenburg,Germany,13/9/2015
Lakkalikööri,Beverages,18,35,Königlich Essen,Brandenburg,Germany,13/9/2015
Rhönbräu Klosterbier,Beverages,"7,75",8,La maison d'Asie,Toulouse,France,14/9/2015
Chang,Beverages,19,30,Die Wandernde Kuh,Stuttgart,Germany,14/9/2015
Geitost,Dairy Products,"2,5",20,Die Wandernde Kuh,Stuttgart,Germany,14/9/2015
Queso Manchego La Pastora,Dairy Products,38,36,Ernst Handel,Graz,Austria,15/9/2015
Konbu,Seafood,6,13,Ernst Handel,Graz,Austria,15/9/2015
Gumbär Gummibärchen,Confections,"31,23",35,Ernst Handel,Graz,Austria,15/9/2015
Tarte au sucre,Confections,"49,3",80,Ernst Handel,Graz,Austria,15/9/2015
Uncle Bob's Organic Dried Pears,Produce,30,35,Folies gourmandes,Lille,France,15/9/2015
Rhönbräu Klosterbier,Beverages,"7,75",2,Folies gourmandes,Lille,France,15/9/2015
Carnarvon Tigers,Seafood,"62,5",50,Folies gourmandes,Lille,France,15/9/2015
Manjimup Dried Apples,Produce,53,15,Folies gourmandes,Lille,France,15/9/2015
Chef Anton's Cajun Seasoning,Condiments,22,10,Magazzini Alimentari Riuniti,Bergamo,Italy,18/9/2015
Chef Anton's Gumbo Mix,Condiments,"21,35",15,Magazzini Alimentari Riuniti,Bergamo,Italy,18/9/2015
Gustaf's Knäckebröd,Grains/Cereals,21,40,Magazzini Alimentari Riuniti,Bergamo,Italy,18/9/2015
Escargots de Bourgogne,Seafood,"13,25",6,Wartian Herkku,Oulu,Finland,19/9/2015
Chef Anton's Cajun Seasoning,Condiments,22,25,Wartian Herkku,Oulu,Finland,19/9/2015
Gnocchi di nonna Alice,Grains/Cereals,38,60,Queen Cozinha,São Paulo,Brazil,19/9/2015
Valkoinen suklaa,Confections,"16,25",25,Queen Cozinha,São Paulo,Brazil,19/9/2015
Queso Cabrales,Dairy Products,21,10,Queen Cozinha,São Paulo,Brazil,19/9/2015
Røgede sild,Seafood,"9,5",20,LINO-Delicateses,I. de Margarita,Venezuela,20/9/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",21,LINO-Delicateses,I. de Margarita,Venezuela,20/9/2015
Mozzarella di Giovanni,Dairy Products,"34,8",60,LINO-Delicateses,I. de Margarita,Venezuela,20/9/2015
Carnarvon Tigers,Seafood,"62,5",8,Santé Gourmet,Stavern,Norway,20/9/2015
Outback Lager,Beverages,15,15,Die Wandernde Kuh,Stuttgart,Germany,21/9/2015
Gudbrandsdalsost,Dairy Products,36,20,Die Wandernde Kuh,Stuttgart,Germany,21/9/2015
Chang,Beverages,19,50,HILARIÓN-Abastos,San Cristóbal,Venezuela,22/9/2015
Boston Crab Meat,Seafood,"18,4",60,HILARIÓN-Abastos,San Cristóbal,Venezuela,22/9/2015
Sir Rodney's Scones,Confections,10,30,Simons bistro,København,Denmark,22/9/2015
Sirop d'érable,Condiments,"28,5",20,Simons bistro,København,Denmark,22/9/2015
Rössle Sauerkraut,Produce,"45,6",15,Alfreds Futterkiste,Berlin,Germany,25/9/2015
Chartreuse verte,Beverages,18,21,Alfreds Futterkiste,Berlin,Germany,25/9/2015
Spegesild,Seafood,12,2,Alfreds Futterkiste,Berlin,Germany,25/9/2015
Carnarvon Tigers,Seafood,"62,5",4,Wellington Importadora,Resende,Brazil,25/9/2015
Spegesild,Seafood,12,21,Wellington Importadora,Resende,Brazil,25/9/2015
Ipoh Coffee,Beverages,46,20,Wellington Importadora,Resende,Brazil,25/9/2015
Carnarvon Tigers,Seafood,"62,5",20,Hanari Carnes,Rio de Janeiro,Brazil,26/9/2015
Inlagd Sill,Seafood,19,15,Hanari Carnes,Rio de Janeiro,Brazil,26/9/2015
Original Frankfurter grüne Soße,Condiments,13,35,Hungry Owl All-Night Grocers,Cork,Ireland,27/9/2015
Chai,Beverages,18,15,Hungry Owl All-Night Grocers,Cork,Ireland,27/9/2015
Ikura,Seafood,31,18,Hungry Owl All-Night Grocers,Cork,Ireland,27/9/2015
Fløtemysost,Dairy Products,"21,5",30,Hungry Owl All-Night Grocers,Cork,Ireland,27/9/2015
Teatime Chocolate Biscuits,Confections,"9,2",30,Que Delícia,Rio de Janeiro,Brazil,27/9/2015
Chartreuse verte,Beverages,18,20,Que Delícia,Rio de Janeiro,Brazil,27/9/2015
Gustaf's Knäckebröd,Grains/Cereals,21,15,Ricardo Adocicados,Rio de Janeiro,Brazil,28/9/2015
Guaraná Fantástica,Beverages,"4,5",15,Ricardo Adocicados,Rio de Janeiro,Brazil,28/9/2015
Rössle Sauerkraut,Produce,"45,6",20,Maison Dewey,Bruxelles,Belgium,28/9/2015
Mozzarella di Giovanni,Dairy Products,"34,8",15,Maison Dewey,Bruxelles,Belgium,28/9/2015
Tourtière,Meat/Poultry,"7,45",30,Familia Arquibaldo,São Paulo,Brazil,29/9/2015
Nord-Ost Matjeshering,Seafood,"25,89",30,Familia Arquibaldo,São Paulo,Brazil,29/9/2015
Perth Pasties,Meat/Poultry,"32,8",25,Familia Arquibaldo,São Paulo,Brazil,29/9/2015
Gustaf's Knäckebröd,Grains/Cereals,21,20,Die Wandernde Kuh,Stuttgart,Germany,2/10/2015
Teatime Chocolate Biscuits,Confections,"9,2",12,Die Wandernde Kuh,Stuttgart,Germany,2/10/2015
Nord-Ost Matjeshering,Seafood,"25,89",2,Gourmet Lanchonetes,Campinas,Brazil,2/10/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,20,Gourmet Lanchonetes,Campinas,Brazil,2/10/2015
Pavlova,Confections,"17,45",30,Frankenversand,München,Germany,3/10/2015
Camembert Pierrot,Dairy Products,34,20,Frankenversand,München,Germany,3/10/2015
Chartreuse verte,Beverages,18,20,Berglunds snabbköp,Luleå,Sweden,3/10/2015
Tourtière,Meat/Poultry,"7,45",6,Berglunds snabbköp,Luleå,Sweden,3/10/2015
Chef Anton's Cajun Seasoning,Condiments,22,12,Berglunds snabbköp,Luleå,Sweden,3/10/2015
Jack's New England Clam Chowder,Seafood,"9,65",20,Reggiani Caseifici,Reggio Emilia,Italy,4/10/2015
Tofu,Produce,"23,25",3,Great Lakes Food Market,Eugene,USA,5/10/2015
Gula Malacca,Condiments,"19,45",28,Great Lakes Food Market,Eugene,USA,5/10/2015
Zaanse koeken,Confections,"9,5",6,Great Lakes Food Market,Eugene,USA,5/10/2015
Camembert Pierrot,Dairy Products,34,30,Save-a-lot Markets,Boise,USA,5/10/2015
Genen Shouyu,Condiments,"15,5",50,Save-a-lot Markets,Boise,USA,5/10/2015
Jack's New England Clam Chowder,Seafood,"9,65",24,Save-a-lot Markets,Boise,USA,5/10/2015
Spegesild,Seafood,12,45,Save-a-lot Markets,Boise,USA,5/10/2015
Zaanse koeken,Confections,"9,5",10,Save-a-lot Markets,Boise,USA,5/10/2015
Gnocchi di nonna Alice,Grains/Cereals,38,45,Save-a-lot Markets,Boise,USA,5/10/2015
Sir Rodney's Scones,Confections,10,60,QUICK-Stop,Cunewalde,Germany,6/10/2015
Boston Crab Meat,Seafood,"18,4",70,QUICK-Stop,Cunewalde,Germany,6/10/2015
Camembert Pierrot,Dairy Products,34,55,QUICK-Stop,Cunewalde,Germany,6/10/2015
Original Frankfurter grüne Soße,Condiments,13,70,QUICK-Stop,Cunewalde,Germany,6/10/2015
Boston Crab Meat,Seafood,"18,4",24,Queen Cozinha,São Paulo,Brazil,6/10/2015
Outback Lager,Beverages,15,40,Queen Cozinha,São Paulo,Brazil,6/10/2015
Gorgonzola Telino,Dairy Products,"12,5",20,Queen Cozinha,São Paulo,Brazil,6/10/2015
Sir Rodney's Marmalade,Confections,81,21,Hungry Coyote Import Store,Elgin,USA,9/10/2015
Chartreuse verte,Beverages,18,3,Hungry Owl All-Night Grocers,Cork,Ireland,10/10/2015
Escargots de Bourgogne,Seafood,"13,25",49,Hungry Owl All-Night Grocers,Cork,Ireland,10/10/2015
Scottish Longbreads,Confections,"12,5",10,Lonesome Pine Restaurant,Portland,USA,10/10/2015
Manjimup Dried Apples,Produce,53,20,Bon app',Marseille,France,11/10/2015
Boston Crab Meat,Seafood,"18,4",30,Bon app',Marseille,France,11/10/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,30,Bon app',Marseille,France,11/10/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",15,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,11/10/2015
Ikura,Seafood,31,24,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,11/10/2015
Gnocchi di nonna Alice,Grains/Cereals,38,12,Furia Bacalhau e Frutos do Mar,Lisboa,Portugal,11/10/2015
Manjimup Dried Apples,Produce,53,20,Lonesome Pine Restaurant,Portland,USA,12/10/2015
Raclette Courdavault,Dairy Products,55,1,Lonesome Pine Restaurant,Portland,USA,12/10/2015
Lakkalikööri,Beverages,18,10,Lonesome Pine Restaurant,Portland,USA,12/10/2015
Thüringer Rostbratwurst,Meat/Poultry,"123,79",36,Richter Supermarkt,Genève,Switzerland,13/10/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",10,Richter Supermarkt,Genève,Switzerland,13/10/2015
Gudbrandsdalsost,Dairy Products,36,45,Ernst Handel,Graz,Austria,13/10/2015
Fløtemysost,Dairy Products,"21,5",14,Ernst Handel,Graz,Austria,13/10/2015
Gorgonzola Telino,Dairy Products,"12,5",8,Die Wandernde Kuh,Stuttgart,Germany,16/10/2015
Pâté chinois,Meat/Poultry,24,4,Die Wandernde Kuh,Stuttgart,Germany,16/10/2015
Wimmers gute Semmelknödel,Grains/Cereals,"33,25",15,Die Wandernde Kuh,Stuttgart,Germany,16/10/2015
Inlagd Sill,Seafood,19,30,Simons bistro,København,Denmark,16/10/2015
Rhönbräu Klosterbier,Beverages,"7,75",25,Frankenversand,München,Germany,17/10/2015
Röd Kaviar,Seafood,15,50,Frankenversand,München,Germany,17/10/2015
Spegesild,Seafood,12,60,Frankenversand,München,Germany,17/10/2015
Tunnbröd,Grains/Cereals,9,32,Frankenversand,München,Germany,17/10/2015
Laughing Lumberjack Lager,Beverages,14,25,Frankenversand,München,Germany,17/10/2015
Pavlova,Confections,"17,45",10,France restauration,Nantes,France,18/10/2015
Tarte au sucre,Confections,"49,3",10,France restauration,Nantes,France,18/10/2015
Louisiana Fiery Hot Pepper Sauce,Condiments,"21,05",12,France restauration,Nantes,France,18/10/2015
Côte de Blaye,Beverages,"263,5",15,Berglunds snabbköp,Luleå,Sweden,18/10/2015
Fløtemysost,Dairy Products,"21,5",12,Berglunds snabbköp,Luleå,Sweden,18/10/2015
Pavlova,Confections,"17,45",3,Wilman Kala,Helsinki,Finland,19/10/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,6,Wilman Kala,Helsinki,Finland,19/10/2015
Ipoh Coffee,Beverages,46,6,Wilman Kala,Helsinki,Finland,19/10/2015
Tunnbröd,Grains/Cereals,9,5,Island Trading,Cowes,UK,19/10/2015
Tofu,Produce,"23,25",30,Frankenversand,München,Germany,20/10/2015
Perth Pasties,Meat/Poultry,"32,8",10,Frankenversand,München,Germany,20/10/2015
Escargots de Bourgogne,Seafood,"13,25",30,Frankenversand,München,Germany,20/10/2015
Gula Malacca,Condiments,"19,45",21,Tortuga Restaurante,México D.F.,Mexico,23/10/2015
Ikura,Seafood,31,2,Tortuga Restaurante,México D.F.,Mexico,23/10/2015
Teatime Chocolate Biscuits,Confections,"9,2",7,Tortuga Restaurante,México D.F.,Mexico,23/10/2015
Geitost,Dairy Products,"2,5",8,Antonio Moreno Taquería,México D.F.,Mexico,23/10/2015
Gumbär Gummibärchen,Confections,"31,23",30,Antonio Moreno Taquería,México D.F.,Mexico,23/10/2015
Queso Manchego La Pastora,Dairy Products,38,100,Save-a-lot Markets,Boise,USA,24/10/2015
Geitost,Dairy Products,"2,5",30,Save-a-lot Markets,Boise,USA,24/10/2015
Jack's New England Clam Chowder,Seafood,"9,65",120,Save-a-lot Markets,Boise,USA,24/10/2015
Tourtière,Meat/Poultry,"7,45",30,Save-a-lot Markets,Boise,USA,24/10/2015
Raclette Courdavault,Dairy Products,55,12,Blondel père et fils,Strasbourg,France,24/10/2015
Gorgonzola Telino,Dairy Products,"12,5",20,Old World Delicatessen,Anchorage,USA,25/10/2015
Singaporean Hokkien Fried Mee,Grains/Cereals,14,40,Old World Delicatessen,Anchorage,USA,25/10/2015
Pavlova,Confections,"17,45",50,Old World Delicatessen,Anchorage,USA,25/10/2015
Sir Rodney's Scones,Confections,10,12,Great Lakes Food Market,Eugene,USA,26/10/2015
Wimmers gute Semmelknödel,Grains/Cereals,"33,25",28,Great Lakes Food Market,Eugene,USA,26/10/2015
Teatime Chocolate Biscuits,Confections,"9,2",30,Great Lakes Food Market,Eugene,USA,26/10/2015
Geitost,Dairy Products,"2,5",30,Antonio Moreno Taquería,México D.F.,Mexico,26/10/2015
Louisiana Hot Spiced Okra,Condiments,17,4,Antonio Moreno Taquería,México D.F.,Mexico,26/10/2015
Rhönbräu Klosterbier,Beverages,"7,75",30,Antonio Moreno Taquería,México D.F.,Mexico,26/10/2015
Filo Mix,Grains/Cereals,7,9,Du monde entier,Nantes,France,27/10/2015
Camembert Pierrot,Dairy Products,34,30,Ottilies Käseladen,Köln,Germany,27/10/2015
Zaanse koeken,Confections,"9,5",40,Ottilies Käseladen,Köln,Germany,27/10/2015
Boston Crab Meat,Seafood,"18,4",20,Ottilies Käseladen,Köln,Germany,27/10/2015
Ikura,Seafood,31,20,Gourmet Lanchonetes,Campinas,Brazil,30/10/2015
Jack's New England Clam Chowder,Seafood,"9,65",4,Gourmet Lanchonetes,Campinas,Brazil,30/10/2015
Zaanse koeken,Confections,"9,5",15,Gourmet Lanchonetes,Campinas,Brazil,30/10/2015
Alice Mutton,Meat/Poultry,39,30,Piccolo und mehr,Salzburg,Austria,31/10/2015
Gumbär Gummibärchen,Confections,"31,23",15,Piccolo und mehr,Salzburg,Austria,31/10/2015
Thüringer Rostbratwurst,Meat/Poultry,"123,79",10,Hungry Owl All-Night Grocers,Cork,Ireland,31/10/2015
Inlagd Sill,Seafood,19,6,Hungry Owl All-Night Grocers,Cork,Ireland,31/10/2015
Mishi Kobe Niku,Meat/Poultry,97,50,Hungry Owl All-Night Grocers,Cork,Ireland,31/10/2015
Rössle Sauerkraut,Produce,"45,6",60,Vaffeljernet,Århus,Denmark,1/11/2015
Sasquatch Ale,Beverages,14,14,Vaffeljernet,Århus,Denmark,1/11/2015
Ikura,Seafood,31,18,Vaffeljernet,Århus,Denmark,1/11/2015
Chai,Beverages,18,35,Berglunds snabbköp,Luleå,Sweden,1/11/2015
Original Frankfurter grüne Soße,Condiments,13,30,Hanari Carnes,Rio de Janeiro,Brazil,2/11/2015
Gnocchi di nonna Alice,Grains/Cereals,38,20,Hanari Carnes,Rio de Janeiro,Brazil,2/11/2015
Tarte au sucre,Confections,"49,3",48,QUICK-Stop,Cunewalde,Germany,3/11/2015
Gula Malacca,Condiments,"19,45",24,QUICK-Stop,Cunewalde,Germany,3/11/2015
Ipoh Coffee,Beverages,46,40,QUICK-Stop,Cunewalde,Germany,3/11/2015
Chai,Beverages,18,30,QUICK-Stop,Cunewalde,Germany,3/11/2015
Thüringer Rostbratwurst,Meat/Poultry,"123,79",40,QUICK-Stop,Cunewalde,Germany,3/11/2015
